,time,text,comments,shares,username,likes,love,solidaire,haha
10,2021-06-03 08:58:00.000000,"#Fintech #blockchain

Babacar Lô
3 juin, 03:48 ·

Le terreau fertile de la finance je voudrais parler des innovation tel que la numérisation de la monnaie, des titres et du crédit, l'explosion de quantités importantes et croissantes de données client, l'expansion rapide de puissance de calcul et d'analyse, la dépendance sur plusieurs systèmes de grands livres, une large acceptation par le publicPlus des nouvelles technologies, Interface client et systèmes de traitement hérités, les coûts des systèmes d'infrastructure et risques de contrepartie, les rentes économiques et risques concentrés centralisés.
Comprenez LA FINTECH COMME LE TERREAU FERTILE DE LA FINANCE. Les Startups Fintech sont des Innovateurs disruptifs qui combinent flexibilité et prise de risques asymétriques",0,0,Payexpresse.com,9,0,0,0
11,2021-06-02 15:33:00.000000,"La bataille fait rage entre Wave et Orange Money au Sénégal.
On ne le dira jamais assez mais la concurrence dans un secteur est à l’avantage du consommateur. C’est particulièrement vrai dans des secteurs comme le mobile money où le prix est le principal critère de choix. Au Sénégal, deux acteurs majeurs défraient en ce moment la chronique. Il s’agit de Wave et d’Orange. Les deux ont effectué des baisses tarifaires remarquables.

Au regard des heures de publication des deux sociétés sur Twitter, c’est Orange qui a donné le coup d’envoi. Ce mardi 1er juin à 10h09, l’opérateur télécom a posté le tweet illustré suivant : « Baisses yu bees, kalpé bu fees ! Profite désormais de – 80 % de baisse sur le retrait d’argent & le Transfert Avec Code, de 2 envois sans frais chaque jour jusqu’à 2 000 FCFA et pour les factures, c’est du 1 % fepp ! #Confort #Sécurité #Confiance. Orange Money, wessuna kalpé ! »
Une heure et dix minutes plus tard, Wave Sénégal a riposté en ces termes : « Ku mën, në Def ! #Waveko #BouBakhBi ». En quelques mots, le service a annoncé de nouveaux tarifs assez déroutants : 0 F pour les retraits d’argent, 0 F pour les paiements de factures et 1 % du montant des transferts d’argent.
#telecom #Orange #Wave",3,7,Payexpresse.com,22,1,0,0
12,2021-06-02 12:56:00.000000,#fintech #paiementenligne #Payexpresse,0,3,Payexpresse.com,8,4,0,0
13,2021-06-02 12:26:00.000000,#apple #google #Amazon 😂😂😂,0,0,Payexpresse.com,8,2,0,4
14,2021-06-02 10:18:00.000000,#entrepreneur #Startup,0,0,Payexpresse.com,10,2,0,0
15,2021-06-01 17:06:00.000000,"Avec Payexpresse tentez de gagner un forfait téléphonique mensuel ( valable au Sénégal) en partageant ce post sur votre profil et story, les partages qui auront plus de ""j’aime"" remporte un forfait.
Du 1 au 7 juin
#Payexpresse",0,9,Payexpresse.com,13,7,0,0
16,2021-06-01 12:52:00.000000,"Bâtisseur de plusieurs groupes panafricains notamment dans la banque, dans les télécoms et dans l’hôtellerie, est l’un des représentants de cette nouvelle génération de dirigeants déterminés à changer le visage du continent.
Né au sein d’une famille ouest-africaine prospère, il grandit à Dakar et témoigne très jeune d’un besoin d’indépendance. Ainsi, Yérim Habib Sow se lance dans les affaires de manière informelle en revendant au Sénégal des produits achetés au cours de ses voyages à l’étranger. Après un parcours scolaire au Sénégal, il part étudier le commerce en Amérique du Nord.
Aussitôt ses études terminées, Yérim Habib Sow perçoit l’une des tendances qui vont marquer cette fin du XXe siècle, l’avènement de la téléphonie mobile. Il est l’un des précurseurs au Sénégal et en Côte d’Ivoire dans le domaine des pagers, ancêtres du téléphone portable. Son entreprise connait un succès immédiat grâce à son modèle appelé « bip access ». Si son père, Aliou Sow, fondateur du groupe de BTP Compagnie sahélienne d’entreprise (CSE), l’a aidé financièrement pour se lancer sur ce marché, Yérim Habib Sow cultive son indépendance. Il réalise très vite des investissements seul, sans l’aide de son père.
Discret dans les médias, l’entrepreneur sénégalais Yérim Habib Sow a fondé et préside le groupe diversifié Teyliom, actif dans pas moins de 16 pays en Afrique, en Europe et au Moyen-Orient.
#YerimSow",5,1,Payexpresse.com,14,5,0,0
17,2021-06-01 10:14:00.000000,"3 startups de la zone MENA annoncent leurs levées de fonds respectives.
Avec l’annonce ce lundi de l’accession de Chipper Cash au statut de licorne africaine, très peu de monde a fait attention aux trois levéesPlus de fonds annoncés le même jour dans la région MENA. Elles ont été réalisées par la startup égyptienne GamesBandy, sa compatriote zVendo et la plateforme e-learning almentor.
#startup #fintech",0,1,Payexpresse.com,11,3,0,0
18,2021-05-31 18:12:00.000000,"Ngolo Kanté dans les bras de sa mère en larmes après la victoire de Chelsea 😍

Quoi de plus beau que rendre fière sa mère ❤️",1,1,Payexpresse.com,17,5,0,0
19,2021-05-31 17:15:00.000000,"Les utilisateurs de PayPal pourront bientôt retirer des crypto-monnaies vers des portefeuilles externes
Aux États-Unis, les utilisateurs de PayPal pourront bientôt envoyer des bitcoins (BTC) entre eux et versPlus des portefeuilles externes.
PayPal semble s’intéresser de plus en plus aux crypto-monnaies après que le fournisseur de paiement a révélé qu’il allait autoriser les utilisateurs à retirer leurs actifs numériques vers des portefeuilles tiers.",1,0,Payexpresse.com,14,2,0,0
20,2021-05-31 14:43:00.000000,"Payexpresse un moyen simple de payer vos achats en ligne.
#fintech #paiementenligne #Payexpresse",0,1,Payexpresse.com,12,4,0,0
21,2021-05-31 12:31:00.000000,"StarNews et Orange concluent un partenariat couvrant 15 pays africains.
Orange compte un total de 150 millions d’abonnés à travers 15 pays en Afrique. L’opérateur français s’est associé à StarNews Mobile pourPlus leur fournir l’accès à la plateforme de contenu artistique. La startup basée en Côte d’Ivoire et fondée par le Camerounais Guy Kamgaing a ainsi atteint une étape de son expansion.

« À mesure que les services StarNews deviennent plus accessibles et offrent une expérience de streaming unique aux gens grâce à des frais d’abonnement abordables, nous pensons que la consommation de contenu local sur mobile en Afrique décollera de manière massive », a commenté le fondateur.
#StarNews #ORANGE #Afrique #startup #cotedivoire #fintech
#Payexpresse",0,0,Payexpresse.com,12,2,0,0
22,2021-05-31 09:58:00.000000,"https://payexpresse.com/
#Payexpresse #fintech #startup #technologie #africa #paiementenligne #orange #Sonatel #freemoney #wari #visa #mastercard #postecash #fintechstartup",0,1,Payexpresse.com,11,2,0,0
23,2021-05-30 12:35:00.000000,Bravo Edouard Mendy !,0,0,Payexpresse.com,15,3,0,0
24,2021-05-30 10:52:00.000000,#mathersday #Payexpresse #fintech #startup,0,4,Payexpresse.com,16,5,0,0
25,2021-05-28 15:03:00.000000,"https://payexpresse.com/
#Payexpresse #fintech #startup #technologie #africa #paiementenligne #orange #Sonatel #freemoney #wari #visa #mastercard #postecash #fintechstartup",0,0,Payexpresse.com,15,2,0,0
26,2021-05-28 12:57:00.000000,"Faites vos achats en ligne en toute sécurité avec Payexpresse.
https://payexpresse.com/
#Payexpresse #fintech #startup #technologie #africa #paiementenligne #orange #Sonatel #freemoney #wari #visa #mastercard #postecash #fintechstartup",0,2,Payexpresse.com,15,3,0,0
27,2021-05-28 10:20:00.000000,"La fondation Jack Ma aurait conclu des partenariats pour une nouvelle initiative en faveur des entrepreneurs africains.
La RiseUp Foundation est une organisation dévouée à la cause des entrepreneurs et desPlus entreprises émergentes en Afrique. Dans cette optique, elle s’est associée à la fondation du milliardaire chinois Jack Ma pour l’organisation de sa nouvelle compétition annuelle “Champions of the African Continent” (Champions du continent africain). Le but de cet événement est l’exploration des talents les plus influents de l’univers entrepreneurial africain.

La nouvelle a été rapportée par le média Daily News Egypt. Abdel Hamid Sharara, CEO et fondateur de la RiseUp Foundation, a donné des détails sur la collaboration pour cette compétition très similaire à la célèbre Africa’s Business Heroes.
#JackMa #RiseUp #africa #entrepreneuriat #startup #fintech
#Payexpresse",0,1,Payexpresse.com,15,3,0,0
28,2021-05-27 14:45:00.000000,"L’organisation à but non-lucratif Impacc va fournir du financement aux startups africaines.
Impacc est une organisation à but non-lucratif basé en Allemagne. Elle a rendu publique son intention d’accorder desPlus financements à des entreprises sociales africaines. Compris entre 30 000 dollars et 150 000 dollars, ces fonds seront alloués à des sociétés avec des solutions durables et à fort impact aux défis sociaux, économiques et environnementaux qui affectent les communautés les moins favorisées sur le continent.

Les startups intéressées ont jusqu’au 15 juin pour déposer leurs candidatures. En plus du soutien financier, celles qui auront été retenues bénéficieront d’une aide pour la croissance de leurs activités, à travers le mentorat d’experts et de coachs clé de l’industrie, ainsi que l’accès au réseau Impacc, aux options de stratégie technique et à la modélisation commerciale.
#IMPACC #financement #Afrique #startup #Fintech
#Payexpresse",0,0,Payexpresse.com,12,3,0,0
29,2021-05-27 12:13:00.000000,"Payexpresse solution de paiement en ligne.
https://payexpresse.com/
#Payexpresse #fintech #startup #technologie #africa #paiementenligne #orange #Sonatel #freemoney #wari #visa #mastercard #postecash #fintechstartup",0,0,Payexpresse.com,14,3,0,0
30,2021-05-27 10:08:00.000000,"La fintech axée sur l’Afrique OPay serait sur le point de lever 400 millions de dollars. Le mercredi 26 mai 2021, le média The Information a annoncé une nouvelle majeur pour l’écosystème africain des startups. Selon lui, OPay, plateforme fintech créée par Opera, soutenue par la Chine et axée sur l’Afrique, est en pourparlers pour lever jusqu’à 400 millions de dollars. Si l’opération se termine par une réussite, le total levé par la société s’élèvera à 570 millions.

Par la même occasion, elle atteindra une valorisation qui s’élèvera à 1,5 milliard de dollars. Les performances du service fintech et mobile money au Nigeria ont suffi à convaincre les investisseurs. Opera a annoncé que les transactions mensuelles d’OPay avaient augmenté de 4,5 fois en 2020. Elles ont atteint plus de 2 milliards de dollars en décembre. OPay prétend également traiter environ 80 % des virements bancaires des opérateurs mobile money au Nigéria et 20 % des transactions des points de vente non-marchands du pays. L’année dernière, la société a également déclaré avoir acquis une licence de transfert d’argent international avec un partenariat WorldRemit également en préparation.
#finetech #startup #opay #opera #africa #mobilmoney #fintechstartup
#Payexpresse",1,0,Payexpresse.com,16,1,0,0
31,2021-05-26 14:38:00.000000,"Les Women in Tech Africa Awards 2021 auront lieu le 31 juillet 2021. L’organisation Women in Tech Africa va « célébrer les femmes africaines dans la technologie ». A travers sa cérémonie d’Awards, elle veutPlus mener à bien l’une de ses principales missions qui est de multiplier le nombre de filles et de femmes dans la technologie, en particulier en Afrique. L’événement a trois objectifs :

Célébrer les femmes dans les STEM en AFRIQUE pour leurs réalisations en tant que leaders dans le secteur de la technologie, des entreprises, des visionnaires et des femmes qui font une différence dans leurs communautés ;
Les prix récompenseront également des projets et des initiatives exceptionnels à travers l’Afrique qui contribuent à bâtir un avenir numérique meilleur pour les filles et les femmes ;
Rassembler des femmes dans la technologie à travers l’Afrique pour une nuit de réseautage.
#womanintech #femmes #africa #technologie #awards #STEM #numerique
#Payexpresse",0,0,Payexpresse.com,15,1,0,0
32,2021-05-26 12:34:00.000000,"https://payexpresse.com/
#Payexpresse #fintech #startup #technologie #africa #paiementenligne #orange #Sonatel #freemoney #wari #visa #mastercard #postecash #fintechstartup",0,0,Payexpresse.com,13,3,0,0
33,2021-05-26 10:03:00.000000,"#nigeria #entrepreneur #technologie #startup
#Payexpresse",0,1,Payexpresse.com,14,2,0,0
34,2021-05-25 14:45:00.000000,"https://payexpresse.com/
#Payexpresse #fintech #startup #technologie #africa #paiementenligne #orange #Sonatel #freemoney #wari #visa #mastercard #postecash #fintechstartup",0,1,Payexpresse.com,15,3,0,0
35,2021-05-25 12:34:00.000000,"L’UIT publie un nouveau rapport sur l’adoption des TIC en Afrique. Le rapport donne un aperçu des tendances et des développements des TIC en Afrique de 2017 à 2020. L'Union internationale des télécommunicationsPlus l’a élaboré dans le but d’en faire une référence pour ses États membres. Intitulé « Digital trends in Africa 2021 », il leur servira dans l’examen des progrès et l’identification des priorités de développement des TIC sur le continent.

L’un des principaux enseignements du rapport est le fait que la région africaine a connu une croissance continue, quoique lente, dans la plupart des domaines de l’infrastructure, de l’accès et de l’utilisation des TIC au cours des quatre dernières années. Le secrétaire général de l’UIT, Houlin Zhao, a plaidé pour des investissements dans les infrastructures des TIC, notant que l’Afrique aura besoin d’environ 100 milliards de dollars pour mettre tout le monde en ligne d’ici 2030.
#uit #TIC #africa #Payexpresse",0,0,Payexpresse.com,11,1,0,0
36,2021-05-25 10:20:00.000000,"Bonne journée de l'Afrique.
#africa #Payexpresse #afrique",0,3,Payexpresse.com,10,2,0,0
37,2021-05-24 13:11:00.000000,"Les fintech sont une menace pour les banques du monde, selon Jamie Dimon, PDG de JPMorgan Chase & Co
Pour Jamie Dimon : « Les fintech du monde entier font de grands progrès dans la création de produits et dePlus services bancaires numériques et physiques. Des prêts aux systèmes de paiement en passant par l'investissement, ils ont fait un excellent travail en développant des produits faciles à utiliser, intuitifs, rapides et intelligents. Nous en parlons depuis des années, mais cette concurrence est maintenant partout [...] Leurs atouts sont extraordinaires, avec des plateformes omniprésentes et un accès infini aux données », a-t-il fait savoir.",0,0,Payexpresse.com,9,2,0,0
38,2021-05-23 11:24:00.000000,,0,0,Payexpresse.com,11,3,0,0
39,2021-05-22 10:20:00.000000,"https://payexpresse.com/
#Payexpresse #fintech #startup #technologie #africa #paiementenligne #orange #Sonatel #freemoney #wari #visa #mastercard #postecash #fintechstartup",1,3,Payexpresse.com,12,3,0,0
40,2021-05-21 14:58:00.000000,"Le MIT et la MastercardFoundation vont soutenir les entrepreneurs sénégalais. En collaboration avec la Fondation Mastercard, le Massachussetts Institute of Technology (MIT) a récemment lancé la première boursePlus Legatum Foundry Fellowship pour les entrepreneurs en Afrique. Les pays concernés sont le Nigeria, l’Éthiopie, le Ghana, le Kenya, le Rwanda, le Sénégal et l’Ouganda. L’initiative cible des acteurs qui envisagent de façonner l’avenir des écosystèmes d’innovation.

Elle va les connecter avec des investisseurs et des innovateurs pairs au Legatum Center for Development & Entrepreneurship. En outre, le programme présente l’opportunité unique d’apporter des ressources et des connaissances du MIT à ces écosystèmes d’innovation critiques. C’est également une chance pour l’Institut qui a l’occasion d’apprendre des leaders à succès et de leurs solutions innovantes.
#MIT #MASTERCARD #entrepreneur #Senegal #nigeria #ethiopie #ghana #kenya #Rwanda #ouagadougou
#Payexpresse",0,0,Payexpresse.com,10,2,0,0
41,2021-05-21 12:22:00.000000,"https://payexpresse.com/
#Payexpresse #fintech #startup #technologie #africa #paiementenligne #orange #Sonatel #freemoney #wari #visa #mastercard #postecash #fintechstartup",0,1,Payexpresse.com,12,2,0,0
42,2021-05-21 10:13:00.000000,"Les « UBA Group Africa Conversations 2021 » vont réunir les plus grands leaders africains. « Bringing Africa to the World » (Intégrer l’Afrique au monde), tel est le thème des UBA Africa Conversations 2021.Plus Elles se tiendront le 25 mai prochain, réunissant les plus grands leaders du continent africain. Modérée par Tony Elumelu, cette troisième attend des personnalités telles que le Président du Rwanda Paul Kagame, Ngozi Okonjo-Iweala, la directrice générale de l’Organisation mondiale du commerce (OMC), Dr Tedros Adhanom Ghebreyesus, directeur général de l’Organisation mondiale de la santé (OMS) et Makhtar Sop Diop, Directeur général de la Société financière internationale (SFI).
#UBA #africa #Rwanda #OMC #SFI
#Payexpresse",0,0,Payexpresse.com,13,2,0,0
43,2021-05-20 15:21:00.000000,"Jumia souhaite séparer ses activités de paiement et de logistique. Sacha Poignonnec, co-CEO de Jumia Technologies, était l’invité « PreMarket Prep. » ce mercredi. Il s’agit d’une émission du média spécialisé enPlus trading Bezinga, diffusée sur YouTube. Le cadre dirigeant de la multinationale e-commerce a évoqué différents sujets comme les défis qui caractérisent le marché africain ou encore sa position favorable.

Il a aussi partagé la volonté du groupe de faire de Jumia Pay et Jumia Logistics des entités indépendantes. Malheureusement, il n’est pas encore en position de le faire et il faudra attendre encore des années avant que cela soit possible. Pour l’instant, la société se focalise sur l’amélioration de ses performances, ayant présenté un bilan mitigé au premier trimestre 2021.
#jumia #fintech #startup",0,0,Payexpresse.com,11,2,0,0
44,2021-05-20 13:09:00.000000,"https://payexpresse.com/
#Payexpresse #fintech #startup #technologie #africa #paiementenligne #orange #Sonatel #freemoney #wari #visa #mastercard #postecash #fintechstartup",0,2,Payexpresse.com,13,4,0,0
45,2021-05-19 21:45:00.000000,"Elon Musk le Milliadaire promet 100 millions...

WESTInfos
19 mai, 21:30 ·

Le milliardaire Elon Musk promet 100 millions de dollars à celui qui l’aidera à résoudre ce problème

Le fondateur de Tesla et SpaceX sait également se montrer généreux à l’égard de ceux qui peuvent l’aider àPlus atteindre ses objectifs. Sa dernière annonce alléchante concerne le dioxyde de carbone. Elon Musk a en effet publié sur Twitter ce vendredi qu’il était prêt à offrir 100 millions de dollars (82 millions d’euros) à celui ou celle qui pourra l’aider à améliorer radicalement le problème du captage et du stockage du dioxyde de carbone, relate presse-citron.",0,0,Payexpresse.com,9,2,0,0
46,2021-05-19 15:00:00.000000,#Payexpresse #fintech #startup #fintech #technologie #africa #paiementenligne #orange #Sonatel #freemoney #wari #visa #mastercard #postecash #fintechstartup,0,0,Payexpresse.com,9,4,0,0
47,2021-05-19 12:36:00.000000,"La Fondation LHoFT sélectionne 14 startups fintech pour promouvoir l’inclusion financière en Afrique. L’initiative, qui débutera ce 19 mai, cible les entreprises axées sur l’inclusion financière en Afrique,Plus visant à construire des ponts entre l’Afrique et l’Europe, en mettant en avant leurs initiatives et en parfaite adéquation avec les objectifs de développement durable de la place financière du Luxembourg. Elle en est à sa troisième édition laquelle sera entièrement numérique.
#LHoFT #developpementdurable #fintech #startup",0,1,Payexpresse.com,9,3,0,0
48,2021-05-19 10:05:00.000000,#Congo #entrepreneur #fintech #startup #totem #Payexpresse,0,0,Payexpresse.com,8,4,0,0
49,2021-05-19 08:31:00.000000,"Samsung présente un nouvel écran « multi-pliable » lors d’une conférence
Alors que de plus en plus de fabricants dévoilent leurs concepts d’écrans pliables ou roulables, Samsung a présenté cette semaine un écran innovant à deux plis lors de la conférence Display Week.",1,0,Payexpresse.com,11,2,0,0
50,2021-05-18 16:35:00.000000,"Faites vos achats en toute simplicité.
#Payexpresse #fintech #startup #fintech #technologie #africa #paiementenligne #orange #Sonatel #freemoney #wari #visa #mastercard #postecash #fintechstartup",7,8,Payexpresse.com,314,5,0,0
51,2021-05-18 15:37:00.000000,"Brillant étudiant en France, ministre en Côte d'Ivoire, premier Africain à diriger un groupe coté au Royaume-Uni.
À Londres,Tidjane Thiam devient le patron pour l’Europe de l’assureur Aviva en 2002, puis rejoint Prudential, dont il devient DG en 2009. Il est alors le premier Noir à diriger une entreprise du FTSE 100. Mais l’échec d’un projet d’OPA sur un assureur asiatique laissera des traces douloureuses. Gravé dans sa mémoire, la phrase de l’un de ses actionnaires (surprise par un journaliste) : « Mais pour qui se prend ce nègre, qui pense qu’on va lui laisser faire une OPA de 35 milliards de dollars ? »
DG de Crédit Suisse depuis 2015, le Franco-Ivoirien a remis à flot le fleuron de la finance helvétique. Pourtant, là aussi, il aura été fraîchement accueilli par un establishment crispé. Nommé « banquier de l’année » par le magazine britannique Euromoney en août 2018, Thiam a prouvé une fois de plus ses qualités de master strategist, capable de réorienter en quelques années le business d’une des plus grandes banques européennes.
#finance #banques #afrique #cotedivoire #senegal #TidjaneThiam",0,3,Payexpresse.com,18,3,0,0
52,2021-05-18 10:30:00.000000,"La Banque mondiale a publié son « 2021 Migration and Development report ». Dans ce document, l’institution révèle le top 10 des pays subsahariens qui sont des destinations pour les transferts de fonds provenantPlus d’autres continents. Un classement dominé par le #Nigeria et le Ghana, comprenant également 3 pays de la zone francophone.
Il s’agit du #Sénégal, de la République démocratique du Congo et du Mali. Ils ont respectivement reçu 2,6 milliards, 1,9 milliard et 1 milliard de dollars. Le pays de la Teranga est à la quatrième place africaine, juste devant la #RDC qui est cinquième et loin de son voisin le #Mali qui ferme le classement.",0,1,Payexpresse.com,14,2,0,0
53,2021-05-17 17:26:00.000000,,0,0,Payexpresse.com,10,3,0,0
54,2021-05-17 13:42:00.000000,"Orange envisagerait d’acquérir une part minoritaire du capital d’Ethio Telecom.
Les tractations vont bon train en ce moment concernant la privatisation du secteur des télécoms en Ethiopie. Le pays d’AfriquePlus orientale a notamment mis en jeu une part minoritaire de 40 % du capital de sa compagnie étatique Ethio Telecom. Vu l’importance du marché (110 millions d’habitants), les opérateurs actifs sur le continent montrent forcément de l’intérêt. C’est le cas du groupe Orange.
#Orange #telecom #Ethiopia",1,0,Payexpresse.com,8,3,0,0
55,2021-05-17 11:27:00.000000,#Payexpresse #mondaymotivation,0,0,Payexpresse.com,11,2,0,0
56,2021-05-15 17:03:00.000000,"Aissa Dione est une vraie référence dans son domaine. Cette entrepreneure franco-sénégalaise 🇫🇷🇸🇳 est une artiste de talent qui s’est formée aux Beaux-Arts à Paris. Peintre, designer, styliste et galeriste, c’est une véritable touche à tout. Son identité culturelle riche lui a permis d’avoir une vision unique de son art. Sa belle histoire entrepreneuriale débute lorsqu'elle tombe sous le charme du pagne tissé dont le savoir-faire était jusqu'alors précieusement gardé dans les familles de tisserands en Casamance, au Sénégal. Un tissu ancestral qui était alors en disparition, et que Aïssa se jurera de faire connaître partout dans le monde. 👤
.
C’est à l’âge de 20 ans qu’elle arrive au Sénégal, pour retrouver son père, le champion de boxe Idrissa Dione. Une belle histoire d'amour débutera alors entre elle et ce pays qu'elle ne quittera jamais. La jeune Aïssa, en quête de repères, découvrira en Dakar une ville qui répond à son besoin de vivre et d’exprimer son art. Nous sommes en 1975, et Dakar vit en quelque sorte son “âge d’or”. Le premier Festival mondial des arts nègres marqué les esprits. Le président Senghor, véritable amoureux de la poésie et de l’art, initie de beaux projets qui feront de Dakar la ville culturelle par excellence en Afrique de l’Ouest...

Source : Askan",0,1,Payexpresse.com,9,3,0,0
57,2021-05-15 12:02:00.000000,Bon week-end #Payexpresse,0,0,Payexpresse.com,8,3,0,0
58,2021-05-14 13:21:00.000000,Juma Moubarak #Payexpresse,3,0,Payexpresse.com,11,6,0,0
59,2021-05-13 10:50:00.000000,#Payexpresse souhaite une bonne fête à toute la Oummah Islamique,3,2,Payexpresse.com,4,4,0,0
60,2021-05-13 10:00:00.000000,Bonne fête d'Ascension,0,0,Payexpresse.com,7,1,0,0
61,2021-05-12 12:48:00.000000,"#Mastercard s’associe à #Billetera pour favoriser l’inclusion financière numérique en République démocratique du Congo
Billetera est une société leader de technologie de paiement numérique basée au Kenya.Plus Mastercard en a fait son partenaire pour fournir un accès à des services financiers et numériques formels aux résidents non bancarisés et financièrement exclus de la République démocratique du Congo (RDC). Ce, grâce à une gamme diversifiée de solutions de paiement numérique.
#Payexpresse #MASTERCARD #kenya #republiquedemocratiqueducongo",0,0,Payexpresse.com,8,1,0,0
62,2021-05-11 15:11:00.000000,"#Payexpresse met a votre disposition plusieurs moyens de paiements.
#fintech #startup #africa #Senegal",3,5,Payexpresse.com,268,5,0,0
63,2021-05-11 13:33:00.000000,"#StarNews Mobile accueille un nouveau membre au sein de son conseil
StarNews Mobile est une startup panafricaine aux ambitions continentale. Pour les concrétiser, elle a accueilli un nouveau membre au sein dePlus son Conseil d’administration. Il s’agit de Stephen A. #Newton dont le rôle sera de guider les opérations sud-africaines et accompagner le déploiement de l’entreprise sur d’autres marchés africains clé.
#fintech #Startup #africa",0,0,Payexpresse.com,8,2,0,0
64,2021-05-11 09:45:00.000000,"#Payexpresse la solution de paiement en ligne qui vous facilite vos achats.
https://payexpresse.com
#fintech #startup",0,4,Payexpresse.com,10,2,0,0
